,Unnamed: 0,YEAR,MONTH,MEAN_TEMP,HIGH_TEMP,LOW_TEMP,HEAT_DEG_DAYS,COOL_DEG_DAYS,RAIN,AVG_WIND_SPEED,HIGHEST_WIND_SPEED,ELEVATION,LAT_DEG,LONG_DEG
Unnamed: 0,1.0,0.05437525292714072,0.0003057277628143115,0.07199499977696926,0.042308898041640244,0.09377529960831475,0.05289680313521327,0.06417973449798055,-0.042903310247139774,0.09017418626112365,0.10041542029230989,-0.1279025226493188,-0.19342656521500787,0.04323290023933779
YEAR,0.05437525292714072,1.0,-0.03655631047456315,0.034632383085327886,0.034294009752467956,0.03785550636406436,0.29196768460294215,0.27773641064536386,-0.00948855020301749,-0.015460391465744539,-0.008385433112617384,-0.03285227206198014,-0.03871957948479325,0.04216378430990848
MONTH,0.0003057277628143115,-0.03655631047456315,1.0,0.20202641337246738,0.18997094310871576,0.21291782986106736,-0.013038827557713597,0.02637515721418061,-0.005133357394020539,-0.03645021234494597,-0.07599567588471647,-0.0029089618699458487,-0.002386683366836046,0.004102022636772212
MEAN_TEMP,0.07199499977696926,0.034632383085327886,0.20202641337246738,1.0,0.9642789741480808,0.9584577935658537,-0.09830473459838691,0.014695805116358521,-0.15948029681692202,0.05341146360033422,0.05202857593545367,-0.3025364811623176,-0.19154239331019102,0.12263804408127311
HIGH_TEMP,0.042308898041640244,0.034294009752467956,0.18997094310871576,0.9642789741480808,1.0,0.8630992035978577,-0.10314196671789583,-0.022324753105588506,-0.19187989453227888,-0.06667931702832462,-0.04630923152669272,-0.2688963155175298,-0.12546938123924764,0.06515094698208233
LOW_TEMP,0.09377529960831475,0.03785550636406436,0.21291782986106736,0.9584577935658537,0.8630992035978577,1.0,-0.08364264199359857,0.05250830255629294,-0.11416310378304682,0.15685017599278087,0.12778665720170304,-0.299795456452654,-0.23676716584272647,0.15989469966957276
HEAT_DEG_DAYS,0.05289680313521327,0.29196768460294215,-0.013038827557713597,-0.09830473459838691,-0.10314196671789583,-0.08364264199359857,1.0,0.9291744146656125,0.013981687174679585,0.0161924050688899,-0.0062997575702842135,0.03679556255449615,0.00017988076701028031,0.03837142784563262
COOL_DEG_DAYS,0.06417973449798055,0.27773641064536386,0.02637515721418061,0.014695805116358521,-0.022324753105588506,0.05250830255629294,0.9291744146656125,1.0,0.02450477167891579,0.055242806925845565,0.01860368591932253,-0.019809121252092273,-0.04940156632541893,0.06974566611307607
RAIN,-0.042903310247139774,-0.00948855020301749,-0.005133357394020539,-0.15948029681692202,-0.19187989453227888,-0.11416310378304682,0.013981687174679585,0.02450477167891579,1.0,0.02727969539959663,0.15331965181532115,0.05894818590072499,0.02878805386171335,-0.056744161584341285
AVG_WIND_SPEED,0.09017418626112365,-0.015460391465744539,-0.03645021234494597,0.05341146360033422,-0.06667931702832462,0.15685017599278087,0.0161924050688899,0.055242806925845565,0.02727969539959663,1.0,0.8082629165636521,-0.022081779577033177,-0.1913572423337174,0.2099874924295041
HIGHEST_WIND_SPEED,0.10041542029230989,-0.008385433112617384,-0.07599567588471647,0.05202857593545367,-0.04630923152669272,0.12778665720170304,-0.0062997575702842135,0.01860368591932253,0.15331965181532115,0.8082629165636521,1.0,-0.006528208782130152,-0.1746140322162181,0.14632018763489185
ELEVATION,-0.1279025226493188,-0.03285227206198014,-0.0029089618699458487,-0.3025364811623176,-0.2688963155175298,-0.299795456452654,0.03679556255449615,-0.019809121252092273,0.05894818590072499,-0.022081779577033177,-0.006528208782130152,1.0,0.1989065944069447,-0.2555378882689295
LAT_DEG,-0.19342656521500787,-0.03871957948479325,-0.002386683366836046,-0.19154239331019102,-0.12546938123924764,-0.23676716584272647,0.00017988076701028031,-0.04940156632541893,0.02878805386171335,-0.1913572423337174,-0.1746140322162181,0.1989065944069447,1.0,-0.34690908232067097
LONG_DEG,0.04323290023933779,0.04216378430990848,0.004102022636772212,0.12263804408127311,0.06515094698208233,0.15989469966957276,0.03837142784563262,0.06974566611307607,-0.056744161584341285,0.2099874924295041,0.14632018763489185,-0.2555378882689295,-0.34690908232067097,1.0
